Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
GEN,BEZ,Coronavirus Infektionen / Coronavirus Cases,Main Source / Hauptquelle,Crowdsourced Infektionen,Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit)",Hauptquelle (MUSS Kreis oder Gesundheitsamt sein),Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,Crowdsourced Infektionen,Zeit,Main Source / Hauptquelle,Contributor,
Ahrweiler,Landkreis,17,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9072,17,,83,,0,18/03/2020 13:00,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9072,@JamesEDaniell (james@risklayer.com),,,,,,,,,7
Aichach-Friedberg,Landkreis,12,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,12,,,,,,,,,,,,,,,,9
Alb-Donau-Kreis,Landkreis,26,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,26,,,,,,,,,,,,,,,,8
Altenburger Land,Landkreis,4,https://www.altenburgerland.de/sixcms/detail.php?&_nav_id1=2508&_lang=de&id=371691,4,,,,,,,,,,,,,,,,16
Altenkirchen (Westerwald),Landkreis,8,"https://www.kreis-altenkirchen.de/INTERNET/Quicknavigation/Startseite-Kreis-Altenkirchen/Corona-Landkreis-Altenkirchen-will-Klarheit-zu-Veranstaltungsabsagen.php?object=tx,2154.7&ModID=7&FID=2333.4870.1&NavID=2154.2&NavID=2154.12",8,,,,,,,,,,,,,,,,7
Altmarkkreis Salzwedel,Landkreis,3,https://www.altmarkkreis-salzwedel.de/buerger-presseservice/presseservice/pressemitteilungen-neuigkeiten-pressebilder/fuenf-personen-in-sachsen-anhalt-positiv-auf-coronavirus-getestet.aspx,3,,,,,,,,,,,,,,,,15
Altötting,Landkreis,5,https://www.lra-aoe.de/news/neuartiges-coronavirus-2019-ncov,6,,,,,18.03.2020 14:00,https://www.lra-aoe.de/informationen-zu-corona/corona-das-gesundheitsamt-informiert,,,,,,,,,,9
Alzey-Worms,Landkreis,23,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/corona-virus.php,23,,,,,,,,,,,,,,,,7
Amberg,Kreisfreie Stadt,2,https://www.amberg.de/corona,2,,,,,,,,,,,,,,,,9
